date,campaign_id,platform,impressions,clicks,conversions,spend,ctr,conversion_rate,cost_per_click,cost_per_conversion
2023-12-13,CAMP_006,Google Ads,83720,395,8,478.01,0.47,2.03,1.21,59.75
2023-03-31,CAMP_010,Facebook Ads,96604,878,7,265.96,0.91,0.8,0.3,37.99
2023-05-18,CAMP_008,Facebook Ads,65409,494,25,307.72,0.76,5.06,0.62,12.31
2023-07-01,CAMP_007,Facebook Ads,87277,146,17,785.17,0.17,11.64,5.38,46.19
2023-05-09,CAMP_004,LinkedIn Ads,39250,329,18,173.58,0.84,5.47,0.53,9.64
2023-11-02,CAMP_007,Google Ads,76840,12,36,789.37,0.02,300.0,65.78,21.93
2023-08-04,CAMP_007,Instagram Ads,11003,724,8,405.08,6.58,1.1,0.56,50.63
2023-09-30,CAMP_003,LinkedIn Ads,25148,581,48,186.08,2.31,8.26,0.32,3.88
2023-04-27,CAMP_005,LinkedIn Ads,8120,648,10,354.1,7.98,1.54,0.55,35.41
2023-10-26,CAMP_009,LinkedIn Ads,73506,460,50,745.46,0.63,10.87,1.62,14.91
2023-05-02,CAMP_003,Facebook Ads,62707,251,5,796.2,0.4,1.99,3.17,159.24
2023-10-29,CAMP_006,Facebook Ads,46931,942,25,571.59,2.01,2.65,0.61,22.86
2023-09-06,CAMP_007,LinkedIn Ads,55592,490,17,732.36,0.88,3.47,1.49,43.08
2023-12-12,CAMP_007,Instagram Ads,84113,455,47,90.2,0.54,10.33,0.2,1.92
2023-09-06,CAMP_003,Facebook Ads,13600,146,19,954.9,1.07,13.01,6.54,50.26
2023-09-23,CAMP_007,LinkedIn Ads,83848,811,8,438.96,0.97,0.99,0.54,54.87
2023-11-24,CAMP_004,Facebook Ads,65551,111,12,979.31,0.17,10.81,8.82,81.61
2023-04-27,CAMP_009,Facebook Ads,99175,343,4,54.57,0.35,1.17,0.16,13.64
2023-01-12,CAMP_001,Instagram Ads,69064,437,41,448.4,0.63,9.38,1.03,10.94
2023-01-09,CAMP_005,Instagram Ads,6870,536,26,838.49,7.8,4.85,1.56,32.25
2023-11-17,CAMP_007,Facebook Ads,84405,512,25,719.39,0.61,4.88,1.41,28.78
2023-12-20,CAMP_001,Facebook Ads,52637,211,13,51.7,0.4,6.16,0.25,3.98
2023-08-14,CAMP_001,LinkedIn Ads,98442,564,6,505.11,0.57,1.06,0.9,84.19
2023-08-04,CAMP_002,Instagram Ads,25694,384,36,898.04,1.49,9.38,2.34,24.95
2023-08-08,CAMP_008,Facebook Ads,8590,25,35,554.87,0.29,140.0,22.19,15.85
2023-05-08,CAMP_003,Instagram Ads,60370,975,31,499.06,1.62,3.18,0.51,16.1
2023-11-29,CAMP_007,Instagram Ads,72245,928,45,549.06,1.28,4.85,0.59,12.2
2023-01-06,CAMP_006,LinkedIn Ads,69199,796,35,111.68,1.15,4.4,0.14,3.19
2023-01-12,CAMP_010,Facebook Ads,16228,883,18,731.86,5.44,2.04,0.83,40.66
2023-03-24,CAMP_008,LinkedIn Ads,16176,386,9,345.49,2.39,2.33,0.9,38.39
2023-12-09,CAMP_009,Google Ads,82346,538,44,921.85,0.65,8.18,1.71,20.95
2023-10-29,CAMP_008,Instagram Ads,91984,162,48,497.12,0.18,29.63,3.07,10.36
2023-09-24,CAMP_003,Google Ads,10092,394,40,376.26,3.9,10.15,0.95,9.41
2023-05-01,CAMP_005,Google Ads,38437,707,6,70.2,1.84,0.85,0.1,11.7
2023-08-07,CAMP_005,LinkedIn Ads,4440,627,45,883.56,14.12,7.18,1.41,19.63
2023-05-11,CAMP_001,Instagram Ads,30386,978,24,119.91,3.22,2.45,0.12,5.0
2023-08-28,CAMP_003,Facebook Ads,27512,497,4,738.62,1.81,0.8,1.49,184.66
2023-06-26,CAMP_005,Facebook Ads,94069,103,23,961.74,0.11,22.33,9.34,41.81
2023-05-06,CAMP_003,Facebook Ads,91085,119,5,185.76,0.13,4.2,1.56,37.15
2023-06-14,CAMP_009,Instagram Ads,22335,949,48,139.81,4.25,5.06,0.15,2.91
2023-07-31,CAMP_007,Instagram Ads,47505,576,28,979.7,1.21,4.86,1.7,34.99
2023-11-05,CAMP_005,Instagram Ads,75906,117,36,414.43,0.15,30.77,3.54,11.51
2023-10-17,CAMP_004,Instagram Ads,10456,861,41,470.78,8.23,4.76,0.55,11.48
2023-01-03,CAMP_002,Instagram Ads,1914,479,24,792.88,25.03,5.01,1.66,33.04
2023-03-04,CAMP_007,Google Ads,51414,966,43,558.78,1.88,4.45,0.58,12.99
2023-05-25,CAMP_002,LinkedIn Ads,64072,507,35,933.04,0.79,6.9,1.84,26.66
2023-06-08,CAMP_010,LinkedIn Ads,85375,396,20,917.18,0.46,5.05,2.32,45.86
2023-05-08,CAMP_005,LinkedIn Ads,99167,849,10,782.29,0.86,1.18,0.92,78.23
2023-11-27,CAMP_002,Facebook Ads,26307,207,9,915.56,0.79,4.35,4.42,101.73
2023-01-24,CAMP_007,Instagram Ads,64469,924,41,58.37,1.43,4.44,0.06,1.42
2023-07-28,CAMP_007,LinkedIn Ads,5658,679,0,336.32,12.0,0.0,0.5,
2023-09-03,CAMP_010,Google Ads,89542,609,47,861.38,0.68,7.72,1.41,18.33
2023-03-05,CAMP_002,Google Ads,80047,920,23,83.92,1.15,2.5,0.09,3.65
2023-04-12,CAMP_006,Facebook Ads,72485,339,50,371.0,0.47,14.75,1.09,7.42
2023-06-17,CAMP_001,Instagram Ads,52758,627,31,798.18,1.19,4.94,1.27,25.75
2023-04-27,CAMP_003,LinkedIn Ads,84190,566,43,64.21,0.67,7.6,0.11,1.49
2023-01-24,CAMP_006,Instagram Ads,91265,882,48,662.35,0.97,5.44,0.75,13.8
2023-07-13,CAMP_005,LinkedIn Ads,61302,202,29,224.77,0.33,14.36,1.11,7.75
2023-06-16,CAMP_007,Google Ads,71437,143,23,946.38,0.2,16.08,6.62,41.15
2023-09-17,CAMP_005,LinkedIn Ads,81898,897,8,903.69,1.1,0.89,1.01,112.96
2023-08-22,CAMP_007,Instagram Ads,23359,11,19,546.06,0.05,172.73,49.64,28.74
2023-07-03,CAMP_001,Google Ads,60260,567,49,353.9,0.94,8.64,0.62,7.22
2023-06-30,CAMP_006,Google Ads,14606,659,12,87.4,4.51,1.82,0.13,7.28
2023-07-08,CAMP_007,Facebook Ads,86647,336,25,895.94,0.39,7.44,2.67,35.84
2023-12-13,CAMP_006,Instagram Ads,71321,46,11,675.92,0.06,23.91,14.69,61.45
2023-11-11,CAMP_007,Instagram Ads,32106,654,0,852.64,2.04,0.0,1.3,
2023-03-03,CAMP_001,Instagram Ads,35992,888,34,924.68,2.47,3.83,1.04,27.2
2023-07-08,CAMP_002,Facebook Ads,63724,804,48,291.68,1.26,5.97,0.36,6.08
2023-02-15,CAMP_005,Instagram Ads,51654,487,35,356.94,0.94,7.19,0.73,10.2
2023-01-14,CAMP_005,Instagram Ads,56691,496,15,579.65,0.87,3.02,1.17,38.64
2023-12-18,CAMP_008,Facebook Ads,58126,181,23,406.56,0.31,12.71,2.25,17.68
2023-03-31,CAMP_005,Instagram Ads,57181,514,15,586.65,0.9,2.92,1.14,39.11
2023-12-28,CAMP_006,Facebook Ads,76082,452,13,532.73,0.59,2.88,1.18,40.98
2023-03-11,CAMP_007,Facebook Ads,54030,970,14,406.96,1.8,1.44,0.42,29.07
2023-02-11,CAMP_004,Instagram Ads,27448,641,29,270.05,2.34,4.52,0.42,9.31
2023-11-21,CAMP_009,Instagram Ads,64644,577,23,567.22,0.89,3.99,0.98,24.66
2023-01-02,CAMP_009,Instagram Ads,90213,523,17,55.37,0.58,3.25,0.11,3.26
2023-10-08,CAMP_008,Instagram Ads,42834,291,40,183.01,0.68,13.75,0.63,4.58
2023-09-27,CAMP_010,Facebook Ads,26139,26,43,839.31,0.1,165.38,32.28,19.52
2023-08-25,CAMP_008,Instagram Ads,90232,390,33,281.69,0.43,8.46,0.72,8.54
2023-04-07,CAMP_009,Instagram Ads,46416,450,25,902.38,0.97,5.56,2.01,36.1
2023-06-29,CAMP_002,Instagram Ads,32470,219,45,503.33,0.67,20.55,2.3,11.19
2023-10-01,CAMP_006,Instagram Ads,30948,862,29,818.89,2.79,3.36,0.95,28.24
2023-03-16,CAMP_009,Google Ads,41959,401,42,727.29,0.96,10.47,1.81,17.32
2023-10-31,CAMP_008,LinkedIn Ads,29239,394,0,531.35,1.35,0.0,1.35,
2023-02-27,CAMP_007,LinkedIn Ads,11043,102,24,249.96,0.92,23.53,2.45,10.42
2023-02-14,CAMP_009,Instagram Ads,59246,212,24,293.99,0.36,11.32,1.39,12.25
2023-05-09,CAMP_002,Google Ads,65662,698,33,744.3,1.06,4.73,1.07,22.55
2023-11-28,CAMP_009,Google Ads,6052,136,7,364.8,2.25,5.15,2.68,52.11
2023-08-07,CAMP_007,Facebook Ads,61113,989,8,637.38,1.62,0.81,0.64,79.67
2023-01-10,CAMP_008,Instagram Ads,49148,153,1,224.21,0.31,0.65,1.47,224.21
2023-07-10,CAMP_002,Facebook Ads,2713,553,40,580.04,20.38,7.23,1.05,14.5
2023-06-16,CAMP_009,LinkedIn Ads,48825,870,45,267.57,1.78,5.17,0.31,5.95
2023-09-11,CAMP_007,Google Ads,63590,931,42,586.92,1.46,4.51,0.63,13.97
2023-02-02,CAMP_010,Google Ads,60888,185,37,827.99,0.3,20.0,4.48,22.38
2023-09-14,CAMP_002,Facebook Ads,78158,243,25,717.02,0.31,10.29,2.95,28.68
2023-06-28,CAMP_004,Instagram Ads,9693,604,5,830.37,6.23,0.83,1.37,166.07
2023-01-16,CAMP_003,Instagram Ads,88117,816,17,329.95,0.93,2.08,0.4,19.41
2023-03-18,CAMP_009,Facebook Ads,55577,80,31,944.47,0.14,38.75,11.81,30.47
2023-05-31,CAMP_004,Instagram Ads,97934,748,16,599.09,0.76,2.14,0.8,37.44
2023-06-25,CAMP_010,Google Ads,26061,415,34,783.46,1.59,8.19,1.89,23.04
2023-12-30,CAMP_006,Google Ads,46520,504,39,332.4,1.08,7.74,0.66,8.52
2023-03-10,CAMP_006,LinkedIn Ads,54541,431,31,933.27,0.79,7.19,2.17,30.11
2023-08-12,CAMP_009,Facebook Ads,2478,576,31,578.22,23.24,5.38,1.0,18.65
2023-05-31,CAMP_010,Google Ads,32532,346,31,318.79,1.06,8.96,0.92,10.28
2023-04-03,CAMP_003,LinkedIn Ads,7530,64,11,144.77,0.85,17.19,2.26,13.16
2023-10-13,CAMP_008,Instagram Ads,62666,149,45,314.42,0.24,30.2,2.11,6.99
2023-08-02,CAMP_009,Google Ads,58623,529,10,545.08,0.9,1.89,1.03,54.51
2023-10-21,CAMP_001,LinkedIn Ads,94625,184,9,155.23,0.19,4.89,0.84,17.25
2023-03-26,CAMP_003,Facebook Ads,61065,969,39,283.08,1.59,4.02,0.29,7.26
2023-06-10,CAMP_007,Facebook Ads,21052,913,28,267.03,4.34,3.07,0.29,9.54
2023-10-07,CAMP_001,LinkedIn Ads,69561,867,9,897.34,1.25,1.04,1.03,99.7
2023-11-19,CAMP_010,Facebook Ads,39760,791,0,234.2,1.99,0.0,0.3,
2023-01-06,CAMP_001,Facebook Ads,99591,651,48,800.88,0.65,7.37,1.23,16.68
2023-07-08,CAMP_001,Google Ads,56252,950,38,621.68,1.69,4.0,0.65,16.36
2023-06-16,CAMP_008,Google Ads,29786,736,17,417.49,2.47,2.31,0.57,24.56
2023-03-25,CAMP_003,Facebook Ads,10029,662,48,732.81,6.6,7.25,1.11,15.27
2023-05-22,CAMP_004,Google Ads,53442,971,34,134.12,1.82,3.5,0.14,3.94
2023-06-28,CAMP_002,Instagram Ads,69989,944,30,423.8,1.35,3.18,0.45,14.13
2023-12-17,CAMP_010,Instagram Ads,46932,413,37,617.32,0.88,8.96,1.49,16.68
2023-12-01,CAMP_002,Facebook Ads,46963,136,40,491.92,0.29,29.41,3.62,12.3
2023-02-17,CAMP_001,Instagram Ads,79145,514,0,854.8,0.65,0.0,1.66,
2023-03-09,CAMP_003,Facebook Ads,12539,775,48,440.5,6.18,6.19,0.57,9.18
2023-08-24,CAMP_004,Instagram Ads,36451,206,33,856.17,0.57,16.02,4.16,25.94
2023-02-24,CAMP_006,Facebook Ads,84755,757,13,71.48,0.89,1.72,0.09,5.5
2023-04-12,CAMP_006,LinkedIn Ads,55002,815,24,995.51,1.48,2.94,1.22,41.48
2023-01-13,CAMP_009,Instagram Ads,27049,644,14,193.49,2.38,2.17,0.3,13.82
2023-11-12,CAMP_005,Facebook Ads,3683,971,37,181.59,26.36,3.81,0.19,4.91
2023-08-26,CAMP_003,Facebook Ads,26355,886,23,237.81,3.36,2.6,0.27,10.34
2023-05-17,CAMP_005,Google Ads,25300,824,46,934.08,3.26,5.58,1.13,20.31
2023-03-13,CAMP_010,Instagram Ads,3797,235,16,610.04,6.19,6.81,2.6,38.13
2023-04-09,CAMP_004,Google Ads,53033,349,43,659.35,0.66,12.32,1.89,15.33
2023-12-16,CAMP_009,Google Ads,16429,839,6,914.86,5.11,0.72,1.09,152.48
2023-02-27,CAMP_002,Instagram Ads,77942,228,46,630.41,0.29,20.18,2.76,13.7
2023-07-05,CAMP_005,Facebook Ads,16289,449,27,720.09,2.76,6.01,1.6,26.67
2023-03-29,CAMP_005,Facebook Ads,35135,418,7,627.35,1.19,1.67,1.5,89.62
2023-10-17,CAMP_004,LinkedIn Ads,5548,604,38,563.38,10.89,6.29,0.93,14.83
2023-02-17,CAMP_003,Facebook Ads,46812,576,12,779.41,1.23,2.08,1.35,64.95
2023-11-07,CAMP_007,Facebook Ads,55644,598,31,716.59,1.07,5.18,1.2,23.12
2023-08-22,CAMP_008,Google Ads,70203,713,27,982.66,1.02,3.79,1.38,36.39
2023-01-24,CAMP_006,LinkedIn Ads,37799,107,24,597.24,0.28,22.43,5.58,24.89
2023-02-04,CAMP_005,Google Ads,95824,965,2,402.94,1.01,0.21,0.42,201.47
2023-10-22,CAMP_010,Facebook Ads,81563,329,25,618.36,0.4,7.6,1.88,24.73
2023-08-01,CAMP_007,Facebook Ads,94962,605,38,442.47,0.64,6.28,0.73,11.64
2023-06-05,CAMP_006,Facebook Ads,30701,525,46,112.97,1.71,8.76,0.22,2.46
2023-05-12,CAMP_002,Instagram Ads,1490,245,34,297.24,16.44,13.88,1.21,8.74
2023-08-27,CAMP_008,LinkedIn Ads,17951,679,3,972.52,3.78,0.44,1.43,324.17
2023-07-11,CAMP_009,LinkedIn Ads,23155,137,26,889.51,0.59,18.98,6.49,34.21
2023-01-16,CAMP_004,Google Ads,23513,456,1,444.14,1.94,0.22,0.97,444.14
2023-12-09,CAMP_002,Google Ads,97705,129,17,380.64,0.13,13.18,2.95,22.39
2023-02-21,CAMP_001,Instagram Ads,44742,128,26,927.16,0.29,20.31,7.24,35.66
2023-08-22,CAMP_003,LinkedIn Ads,53460,870,35,579.75,1.63,4.02,0.67,16.56
2023-11-26,CAMP_002,Instagram Ads,87289,17,19,474.33,0.02,111.76,27.9,24.96
2023-08-22,CAMP_002,Google Ads,18536,88,32,820.11,0.47,36.36,9.32,25.63
2023-04-05,CAMP_003,LinkedIn Ads,27572,854,5,816.9,3.1,0.59,0.96,163.38
2023-03-25,CAMP_003,Facebook Ads,38794,865,2,642.25,2.23,0.23,0.74,321.12
2023-12-16,CAMP_003,Google Ads,96288,875,48,103.97,0.91,5.49,0.12,2.17
2023-10-30,CAMP_002,Facebook Ads,42685,369,0,987.86,0.86,0.0,2.68,
2023-01-01,CAMP_006,LinkedIn Ads,84295,157,3,393.85,0.19,1.91,2.51,131.28
2023-05-09,CAMP_001,Google Ads,29510,578,4,513.39,1.96,0.69,0.89,128.35
2023-09-11,CAMP_004,Facebook Ads,6559,625,17,570.63,9.53,2.72,0.91,33.57
2023-01-27,CAMP_002,Instagram Ads,87171,222,6,685.42,0.25,2.7,3.09,114.24
2023-10-01,CAMP_004,Google Ads,39908,211,41,173.36,0.53,19.43,0.82,4.23
2023-06-22,CAMP_005,Facebook Ads,68766,913,13,171.16,1.33,1.42,0.19,13.17
2023-09-06,CAMP_007,LinkedIn Ads,61350,732,39,556.05,1.19,5.33,0.76,14.26
2023-11-26,CAMP_009,LinkedIn Ads,86992,184,5,549.29,0.21,2.72,2.99,109.86
2023-04-19,CAMP_010,Google Ads,18563,58,22,569.4,0.31,37.93,9.82,25.88
2023-12-07,CAMP_007,Google Ads,40369,965,35,708.77,2.39,3.63,0.73,20.25
2023-09-21,CAMP_005,LinkedIn Ads,67506,161,42,937.32,0.24,26.09,5.82,22.32
2023-12-12,CAMP_005,LinkedIn Ads,48448,84,28,743.77,0.17,33.33,8.85,26.56
2023-03-02,CAMP_001,Instagram Ads,13897,353,34,250.86,2.54,9.63,0.71,7.38
2023-03-18,CAMP_001,LinkedIn Ads,81799,812,35,383.31,0.99,4.31,0.47,10.95
2023-06-15,CAMP_009,Google Ads,87440,352,0,669.82,0.4,0.0,1.9,
2023-01-16,CAMP_006,LinkedIn Ads,39520,428,25,717.76,1.08,5.84,1.68,28.71
2023-10-17,CAMP_010,LinkedIn Ads,73361,646,6,696.37,0.88,0.93,1.08,116.06
2023-09-27,CAMP_008,Google Ads,80845,786,13,101.61,0.97,1.65,0.13,7.82
2023-07-30,CAMP_007,Google Ads,2664,529,2,663.99,19.86,0.38,1.26,332.0
2023-09-10,CAMP_008,LinkedIn Ads,83013,106,5,488.89,0.13,4.72,4.61,97.78
2023-03-20,CAMP_010,LinkedIn Ads,17376,78,50,838.45,0.45,64.1,10.75,16.77
2023-11-28,CAMP_008,Google Ads,21203,619,28,797.76,2.92,4.52,1.29,28.49
2023-08-19,CAMP_009,LinkedIn Ads,58482,258,25,754.23,0.44,9.69,2.92,30.17
2023-12-01,CAMP_005,LinkedIn Ads,1528,975,46,72.99,63.81,4.72,0.07,1.59
2023-12-27,CAMP_006,Facebook Ads,6163,318,18,743.57,5.16,5.66,2.34,41.31
2023-01-16,CAMP_008,LinkedIn Ads,1010,106,31,659.26,10.5,29.25,6.22,21.27
2023-06-21,CAMP_004,Facebook Ads,39776,177,31,136.32,0.44,17.51,0.77,4.4
2023-02-28,CAMP_001,Google Ads,9100,529,10,724.66,5.81,1.89,1.37,72.47
2023-10-19,CAMP_002,Instagram Ads,45500,417,29,930.54,0.92,6.95,2.23,32.09
2023-05-11,CAMP_002,Facebook Ads,70287,509,33,702.36,0.72,6.48,1.38,21.28
2023-09-13,CAMP_010,LinkedIn Ads,53566,492,45,632.12,0.92,9.15,1.28,14.05
2023-10-13,CAMP_009,Facebook Ads,91065,900,36,589.92,0.99,4.0,0.66,16.39
2023-02-09,CAMP_006,Facebook Ads,97700,908,30,579.83,0.93,3.3,0.64,19.33
2023-06-29,CAMP_004,Instagram Ads,98873,816,8,879.3,0.83,0.98,1.08,109.91
2023-06-10,CAMP_008,Instagram Ads,3833,85,47,886.34,2.22,55.29,10.43,18.86
2023-10-07,CAMP_005,Facebook Ads,60646,72,46,132.93,0.12,63.89,1.85,2.89
2023-08-11,CAMP_007,Facebook Ads,95783,433,30,612.06,0.45,6.93,1.41,20.4
2023-02-10,CAMP_003,Google Ads,65757,291,44,307.98,0.44,15.12,1.06,7.0
2023-04-30,CAMP_001,LinkedIn Ads,72956,511,28,647.98,0.7,5.48,1.27,23.14
2023-08-09,CAMP_008,Google Ads,62445,184,46,526.59,0.29,25.0,2.86,11.45
2023-03-23,CAMP_007,Google Ads,88562,914,17,512.91,1.03,1.86,0.56,30.17
2023-10-16,CAMP_008,Google Ads,26762,74,30,978.89,0.28,40.54,13.23,32.63
2023-03-08,CAMP_002,LinkedIn Ads,64821,501,46,108.61,0.77,9.18,0.22,2.36
2023-12-03,CAMP_001,Facebook Ads,89054,608,19,939.2,0.68,3.12,1.54,49.43
2023-11-08,CAMP_009,Facebook Ads,70355,939,41,310.33,1.33,4.37,0.33,7.57
2023-06-16,CAMP_008,Google Ads,77575,832,40,740.75,1.07,4.81,0.89,18.52
2023-12-30,CAMP_010,LinkedIn Ads,1954,217,11,995.67,11.11,5.07,4.59,90.52
2023-09-04,CAMP_007,LinkedIn Ads,13915,259,10,281.39,1.86,3.86,1.09,28.14
2023-11-10,CAMP_001,LinkedIn Ads,90521,541,44,866.49,0.6,8.13,1.6,19.69
2023-02-04,CAMP_002,LinkedIn Ads,54846,392,21,639.91,0.71,5.36,1.63,30.47
2023-03-03,CAMP_002,LinkedIn Ads,97426,365,22,403.45,0.37,6.03,1.11,18.34
2023-08-04,CAMP_010,Google Ads,46031,498,31,500.69,1.08,6.22,1.01,16.15
2023-08-24,CAMP_002,LinkedIn Ads,43091,311,27,144.8,0.72,8.68,0.47,5.36
2023-09-09,CAMP_001,LinkedIn Ads,66290,950,40,985.08,1.43,4.21,1.04,24.63
2023-11-14,CAMP_002,LinkedIn Ads,30099,347,16,72.27,1.15,4.61,0.21,4.52
2023-05-07,CAMP_004,Facebook Ads,45298,79,12,206.96,0.17,15.19,2.62,17.25
2023-02-08,CAMP_009,LinkedIn Ads,70062,349,26,511.94,0.5,7.45,1.47,19.69
2023-04-25,CAMP_010,Instagram Ads,41676,769,29,336.09,1.85,3.77,0.44,11.59
2023-01-05,CAMP_009,LinkedIn Ads,83934,296,5,971.67,0.35,1.69,3.28,194.33
2023-10-02,CAMP_001,Facebook Ads,3970,158,9,285.74,3.98,5.7,1.81,31.75
2023-03-29,CAMP_001,Instagram Ads,84656,818,37,967.05,0.97,4.52,1.18,26.14
2023-08-20,CAMP_005,Instagram Ads,13200,170,36,375.26,1.29,21.18,2.21,10.42
2023-12-17,CAMP_010,Instagram Ads,82673,265,29,424.91,0.32,10.94,1.6,14.65
2023-12-04,CAMP_008,Instagram Ads,94651,203,4,658.79,0.21,1.97,3.25,164.7
2023-05-18,CAMP_010,Google Ads,72781,949,34,591.79,1.3,3.58,0.62,17.41
2023-01-23,CAMP_004,Google Ads,13249,671,1,895.21,5.06,0.15,1.33,895.21
2023-05-07,CAMP_003,Facebook Ads,49494,266,42,984.8,0.54,15.79,3.7,23.45
2023-12-19,CAMP_010,Instagram Ads,34386,455,5,109.43,1.32,1.1,0.24,21.89
2023-05-08,CAMP_005,Google Ads,90027,770,9,787.0,0.86,1.17,1.02,87.44
2023-06-08,CAMP_001,Instagram Ads,79480,870,14,933.04,1.09,1.61,1.07,66.65
2023-08-02,CAMP_009,Google Ads,92317,799,7,692.8,0.87,0.88,0.87,98.97
2023-04-10,CAMP_003,Google Ads,42954,75,47,783.94,0.17,62.67,10.45,16.68
2023-09-15,CAMP_007,Instagram Ads,10904,376,47,171.13,3.45,12.5,0.46,3.64
2023-03-09,CAMP_004,LinkedIn Ads,63416,915,10,164.13,1.44,1.09,0.18,16.41
2023-07-09,CAMP_002,Instagram Ads,87535,871,35,725.54,1.0,4.02,0.83,20.73
2023-07-13,CAMP_003,Google Ads,4382,154,25,477.88,3.51,16.23,3.1,19.12
2023-03-19,CAMP_003,Google Ads,22064,233,43,324.46,1.06,18.45,1.39,7.55
2023-05-05,CAMP_006,Instagram Ads,23414,630,44,183.66,2.69,6.98,0.29,4.17
2023-01-28,CAMP_007,LinkedIn Ads,56519,307,33,362.53,0.54,10.75,1.18,10.99
2023-04-04,CAMP_005,Instagram Ads,46859,281,10,486.16,0.6,3.56,1.73,48.62
2023-04-19,CAMP_006,Instagram Ads,63567,844,29,221.87,1.33,3.44,0.26,7.65
2023-07-19,CAMP_010,LinkedIn Ads,26804,807,46,218.52,3.01,5.7,0.27,4.75
2023-01-10,CAMP_005,Instagram Ads,20497,511,22,253.96,2.49,4.31,0.5,11.54
2023-11-10,CAMP_004,LinkedIn Ads,16327,252,24,528.03,1.54,9.52,2.1,22.0
2023-06-13,CAMP_005,LinkedIn Ads,13160,746,8,848.76,5.67,1.07,1.14,106.09
2023-09-09,CAMP_007,Facebook Ads,69921,242,8,587.48,0.35,3.31,2.43,73.44
2023-09-03,CAMP_002,LinkedIn Ads,81243,500,6,301.59,0.62,1.2,0.6,50.26
2023-06-10,CAMP_001,Google Ads,56686,344,41,643.98,0.61,11.92,1.87,15.71
2023-10-04,CAMP_007,Facebook Ads,3764,114,1,324.88,3.03,0.88,2.85,324.88
2023-11-22,CAMP_004,LinkedIn Ads,67723,766,40,575.57,1.13,5.22,0.75,14.39
2023-06-05,CAMP_006,Facebook Ads,94208,225,31,163.94,0.24,13.78,0.73,5.29
2023-07-19,CAMP_004,Google Ads,7625,66,8,594.84,0.87,12.12,9.01,74.36
2023-07-08,CAMP_007,Google Ads,90111,69,0,823.2,0.08,0.0,11.93,
2023-01-29,CAMP_001,Google Ads,21001,125,8,523.83,0.6,6.4,4.19,65.48
2023-12-14,CAMP_002,LinkedIn Ads,14197,686,1,665.6,4.83,0.15,0.97,665.6
2023-10-11,CAMP_001,Instagram Ads,1763,95,0,893.99,5.39,0.0,9.41,
2023-01-14,CAMP_003,Facebook Ads,36409,150,50,491.73,0.41,33.33,3.28,9.83
2023-09-27,CAMP_008,LinkedIn Ads,23610,886,36,503.63,3.75,4.06,0.57,13.99
2023-03-31,CAMP_003,Google Ads,86559,832,13,600.06,0.96,1.56,0.72,46.16
2023-10-23,CAMP_007,Google Ads,99269,754,27,223.25,0.76,3.58,0.3,8.27
2023-08-04,CAMP_001,Instagram Ads,92560,147,50,409.52,0.16,34.01,2.79,8.19
2023-04-20,CAMP_007,Facebook Ads,37652,32,15,720.68,0.08,46.88,22.52,48.05
2023-01-29,CAMP_007,Google Ads,21421,126,2,661.88,0.59,1.59,5.25,330.94
2023-03-09,CAMP_005,Google Ads,10870,575,4,155.77,5.29,0.7,0.27,38.94
2023-05-27,CAMP_003,LinkedIn Ads,85195,432,36,287.07,0.51,8.33,0.66,7.97
2023-08-02,CAMP_010,Google Ads,48762,345,21,677.06,0.71,6.09,1.96,32.24
2023-10-21,CAMP_007,Instagram Ads,44313,584,26,781.37,1.32,4.45,1.34,30.05
2023-11-14,CAMP_007,Instagram Ads,18047,98,28,420.46,0.54,28.57,4.29,15.02
2023-08-07,CAMP_001,Instagram Ads,71747,351,46,977.84,0.49,13.11,2.79,21.26
2023-04-10,CAMP_002,Google Ads,15076,311,27,351.52,2.06,8.68,1.13,13.02
2023-07-22,CAMP_008,Instagram Ads,74830,73,12,201.32,0.1,16.44,2.76,16.78
2023-03-19,CAMP_002,Facebook Ads,78675,243,11,423.38,0.31,4.53,1.74,38.49
2023-10-01,CAMP_008,LinkedIn Ads,67306,123,43,284.31,0.18,34.96,2.31,6.61
2023-05-28,CAMP_007,Google Ads,76142,941,47,414.51,1.24,4.99,0.44,8.82
2023-09-01,CAMP_010,Facebook Ads,62906,747,32,481.64,1.19,4.28,0.64,15.05
2023-05-22,CAMP_002,LinkedIn Ads,50191,574,8,653.16,1.14,1.39,1.14,81.64
2023-03-14,CAMP_009,Google Ads,59701,185,18,140.0,0.31,9.73,0.76,7.78
2023-10-03,CAMP_006,LinkedIn Ads,77689,991,6,316.25,1.28,0.61,0.32,52.71
2023-08-23,CAMP_005,LinkedIn Ads,6856,751,40,429.27,10.95,5.33,0.57,10.73
2023-12-06,CAMP_004,Instagram Ads,92471,317,50,55.41,0.34,15.77,0.17,1.11
2023-04-25,CAMP_003,Instagram Ads,38276,764,31,64.78,2.0,4.06,0.08,2.09
2023-09-03,CAMP_001,Instagram Ads,9205,807,34,511.86,8.77,4.21,0.63,15.05
2023-02-28,CAMP_003,Instagram Ads,49141,638,36,992.3,1.3,5.64,1.56,27.56
2023-08-09,CAMP_010,Google Ads,69937,967,33,890.37,1.38,3.41,0.92,26.98
2023-02-26,CAMP_008,Instagram Ads,12579,677,8,984.88,5.38,1.18,1.45,123.11
2023-10-04,CAMP_007,Google Ads,86034,203,8,630.63,0.24,3.94,3.11,78.83
2023-10-09,CAMP_008,Instagram Ads,70213,68,29,991.19,0.1,42.65,14.58,34.18
